month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2024-06-01,A DIVISION,3,offpeak,2249750.5,1.053940285,0.409817633,2371102.683,921987.4243,257568.8,11.4487718,88.5512282
2024-06-01,A DIVISION,3,peak,2550628.5,1.047309012,0.303419223,2671296.215,773909.7185,257214.7,10.0843655,89.9156345
2024-06-01,A DIVISION,4,offpeak,3885113.1,0.99777638,0.438014752,3876474.086,1701736.853,506126.6,13.0273325,86.9726675
2024-06-01,A DIVISION,4,peak,3855973.1,1.043537296,0.594952384,4023851.743,2294120.387,551001.7,14.2895629,85.7104371
2024-06-01,A DIVISION,5,offpeak,2605987.7,1.235761201,0.568122547,3220378.49,1480520.37,391078,15.0069012,84.9930988
2024-06-01,A DIVISION,5,peak,3285484,1.113432544,0.474208057,3658164.807,1558002.985,467186,14.219701,85.780299
2024-06-01,A DIVISION,6,offpeak,5079585.3,1.152286809,0.568562956,5853139.139,2888064.036,609441.7,11.9978633,88.0021367
2024-06-01,A DIVISION,6,peak,5481108.4,1.299446083,0.725866769,7122404.839,3978554.444,732503.7,13.3641528,86.6358472
2024-06-01,A DIVISION,7,offpeak,3715236,1.000992651,0.394953734,3718923.934,1467346.332,414712.8,11.1624887,88.8375113
2024-06-01,A DIVISION,7,peak,4102478.5,0.978107673,0.377072969,4012665.7,1546933.749,345365.9,8.4184695,91.5815305
2024-06-01,A DIVISION,S 42nd,offpeak,371676,0.549170079,-0.093332626,204113.3383,-34689.497,9495.3,2.5547251,97.4452749
2024-06-01,A DIVISION,S 42nd,peak,448168,0.609802691,-0.118654371,273294.0525,-53177.092,8613.5,1.9219355,98.0780645
2024-06-01,B DIVISION,A,offpeak,3586960,1.372844406,0.847391956,4924337.97,3039561.049,784460.8,21.869795,78.130205
2024-06-01,B DIVISION,A,peak,4197327.3,1.122477045,0.513438685,4711403.545,2155070.208,671205.9,15.991269,84.008731
2024-06-01,B DIVISION,B,offpeak,1882529.6,2.154157025,0.817481021,4055264.362,1538932.219,458923.6,24.3780284,75.6219716
2024-06-01,B DIVISION,B,peak,2814558,1.896994249,0.92848341,5339200.341,2613270.41,639210.6,22.7108697,77.2891303
2024-06-01,B DIVISION,C,offpeak,2417803.3,1.583436434,0.527458497,3828437.834,1275290.895,427591.5,17.6851235,82.3148765
2024-06-01,B DIVISION,C,peak,2034095.3,1.596997057,0.321987309,3248444.209,654952.871,330744.8,16.2600445,83.7399555
2024-06-01,B DIVISION,D,offpeak,3054898.4,1.683194257,0.922665191,5141987.442,2818648.414,766789.2,25.1003176,74.8996824
2024-06-01,B DIVISION,D,peak,2706649.1,1.385689256,0.812807607,3750574.579,2199984.977,567006.9,20.9486667,79.0513333
2024-06-01,B DIVISION,E,offpeak,3371649.6,1.26131662,0.108562137,4252717.677,366033.487,477795.3,14.1709655,85.8290345
2024-06-01,B DIVISION,E,peak,3701078.4,1.4550232,-0.461912329,5385154.936,-1709573.742,359921.6,9.7247764,90.2752236
2024-06-01,B DIVISION,F,offpeak,3957061,1.677640893,-0.011700756,6638527.348,-46300.60333,761316.1,19.239433,80.760567
2024-06-01,B DIVISION,F,peak,4432265,1.288478001,-0.628953553,5710875.947,-2787688.821,505877,11.4135098,88.5864902
2024-06-01,B DIVISION,G,offpeak,1258550.2,1.100867033,0.876135,1385496.424,1102659.88,209058.3,16.6110418,83.3889582
2024-06-01,B DIVISION,G,peak,1382517.4,1.089030417,0.567028135,1505603.5,783926.2628,247179.2,17.8789215,82.1210785
2024-06-01,B DIVISION,JZ,offpeak,1297066.7,1.560005893,0.913730656,2023431.696,1185169.607,304553.7,23.480188,76.519812
2024-06-01,B DIVISION,JZ,peak,1375997,1.255778224,0.568065868,1727947.068,781656.9308,252490.7,18.3496548,81.6503452
2024-06-01,B DIVISION,L,offpeak,2682746.3,0.89669908,0.604099891,2405616.14,1620646.748,253615.8,9.4535887,90.5464113
2024-06-01,B DIVISION,L,peak,2666256,0.791717974,0.400008565,2110922.798,1066525.236,166086.8,6.2292143,93.7707857
2024-06-01,B DIVISION,M,offpeak,1615547.4,2.523548355,0.231549837,4076911.984,374079.7368,424559.5,26.2796065,73.7203935
